"","word","freq"
"transition","transition",29
"advisor","advisor",28
"damn","damn",28
"game","game",28
"gear","gear",28
"guy","guy",28
"hes","hes",28
"lindasuhler","lindasuhler",28
"petenowalk","petenowalk",28
"response","response",28
"spain","spain",28
"stadium","stadium",28
"stop","stop",28
"watching","watching",28
"altright","altright",27
"follow","follow",27
"los","los",27
"realdonaldtrumps","realdonaldtrumps",27
"step","step",27
"wont","wont",27
"b‚Ä","b‚Ä",26
"better","better",26
"chance","chance",26
"died","died",26
"hire","hire",26
"kiralerner","kiralerner",26
"mannequinclips","mannequinclips",26
"muslim","muslim",26
"read","read",26
"trying","trying",26
"wal","wal",26
"belief","belief",25
"case","case",25
"ever","ever",25
"existence","existence",25
"furthered","furthered",25
"gabbydavidson","gabbydavidson",25
"group","group",25
"lagoscares","lagoscares",25
"lasema","lasema",25
"lasemasocial","lasemasocial",25
"light","light",25
"lru","lru",25
"many","many",25
"really","really",25
"saying","saying",25
"teams","teams",25
"unit","unit",25
"alfred","alfred",24
"day","day",24
"deserved","deserved",24
"enoch","enoch",24
"even","even",24
"finally","finally",24
"gibbons","gibbons",24
"helpnhtgawm","helpnhtgawm",24
"httpstcoamgddltiknrt","httpstcoamgddltiknrt",24
"httpstcodbzdbs‚Änrt","httpstcodbzdbs‚Änrt",24
"httpstcodqwjrfvh","httpstcodqwjrfvh",24
"httpstcofhaixdaobnrt","httpstcofhaixdaobnrt",24
"httpstcoivjudznvqh","httpstcoivjudznvqh",24
"httpstcolbgqyeoinrt","httpstcolbgqyeoinrt",24
"least","least",24
"lies","lies",24
"yes","yes",24
"backs","backs",23
"beatfmlagos","beatfmlagos",23
"brown","brown",23
"change","change",23
"check","check",23
"flynn","flynn",23
"great","great",23
"hate","hate",23
"headquarters","headquarters",23
"hospital","hospital",23
"hurts","hurts",23
"miami","miami",23
"nflgiveaway","nflgiveaway",23
"orgs","orgs",23
"outside","outside",23
"raheemkassam","raheemkassam",23
"resist","resist",23
"signed","signed",23
"sorrynhtgawm","sorrynhtgawm",23
"tgii","tgii",23
"uufefnhtgawm","uufefnhtgawm",23
"bonnie","bonnie",22
"clairedabear","clairedabear",22
"httpst‚Ä","httpst‚Ä",22
"httpstcoiquaxuj‚Änrt","httpstcoiquaxuj‚Änrt",22
"inc","inc",22
"janoris","janoris",22
"jenkins","jenkins",22
"laurelsgibbin","laurelsgibbin",22
"league","league",22
"live","live",22
"london","london",22
"packed","packed",22
"prize","prize",22
"raheem","raheem",22
"senior","senior",22
"antidefamation","antidefamation",21
"bcz","bcz",21
"black","black",21
"calling","calling",21
"death","death",21
"devastated","devastated",21
"enough","enough",21
"false","false",21
"flew","flew",21
"fuck","fuck",21
"ground","ground",21
"heart","heart",21
"httpstco‚Ä","httpstco‚Ä",21
"httpstcoyqtwusibj","httpstcoyqtwusibj",21
"ive","ive",21
"kassam","kassam",21
"must","must",21
"nit","nit",21
"official","official",21
"omg","omg",21
"parents","parents",21
"player","player",21
"ramsnation","ramsnation",21
"romneys","romneys",21
"send","send",21
"shook","shook",21
"stuff","stuff",21
"wanted","wanted",21
"bad","bad",20
"epic","epic",20
"era","era",20
"job","job",20
"odu","odu",20
"phyno","phyno",20
"thats","thats",20
"whos","whos",20
"years","years",20
"amazing","amazing",19
"claims","claims",19
"daughter","daughter",19
"dead","dead",19
"done","done",19
"find","find",19
"gibbins","gibbins",19
"guys","guys",19
"havent","havent",19
"high","high",19
"jew","jew",19
"keenum","keenum",19
"main","main",19
"ready","ready",19
"spoilers","spoilers",19
"words","words",19
"also","also",18
"believe","believe",18
"birthday","birthday",18
"breaking","breaking",18
"eduaubdedubuaare","eduaubdedubuaare",18
"fam","fam",18
"fashion","fashion",18
"happy","happy",18
"headlines","headlines",18
"httpstcofuzqcmkrtf","httpstcofuzqcmkrtf",18
"httpstcoodbhxottsxnrt","httpstcoodbhxottsxnrt",18
"httpstcoqjpvhjwtu","httpstcoqjpvhjwtu",18
"jarrett","jarrett",18
"next","next",18
"nowon","nowon",18
"peter","peter",18
"setorii","setorii",18
"tickets","tickets",18
"tomorrow","tomorrow",18
"totally","totally",18
"tuning","tuning",18
"violadavis","violadavis",18
"worse","worse",18
"youtube","youtube",18
"decision","decision",17
"finale","finale",17
"halsteadg","halsteadg",17
"hollywood","hollywood",17
"httpstcocpciuqezjg","httpstcocpciuqezjg",17
"httpstcoelczonu","httpstcoelczonu",17
"nfc","nfc",17
"ntgit","ntgit",17
"pretty","pretty",17
"protest","protest",17
"raybo","raybo",17
"realdonaldtrump","realdonaldtrump",17
"returns","returns",17
"seeing","seeing",17
"side","side",17
"well","well",17
"brother","brother",16
"characnshonda","characnshonda",16
"cristallizing","cristallizing",16
"deansherwood","deansherwood",16
"die","die",16
"eduaubdedubuaeduaubdedubua","eduaubdedubuaeduaubdedubua",16
"family‚Äô","family‚Äô",16
"fire","fire",16
"full","full",16
"george","george",16
"happened","happened",16
"himnhtgawm","himnhtgawm",16
"httpstcoamvrrryq","httpstcoamvrrryq",16
"httpstcoavkhbfqjj","httpstcoavkhbfqjj",16
"httpstcooxjxggj","httpstcooxjxggj",16
"httpstcopqnjnfvhqs","httpstcopqnjnfvhqs",16
"httpstcoycodmknku","httpstcoycodmknku",16
"keep","keep",16
"morning","morning",16
"presidentelect","presidentelect",16
"quinn","quinn",16
"special","special",16
"takes","takes",16
"whole","whole",16
"young","young",16
"annalise","annalise",15
"antisemitism","antisemitism",15
"break","break",15
"crying","crying",15
"fantasyfootball","fantasyfootball",15
"feminism","feminism",15
"fucking","fucking",15
"groups","groups",15
"guidofawkes","guidofawkes",15
"hope","hope",15
"htgawmwinterfinale","htgawmwinterfinale",15
"httpstcobtswzoojk","httpstcobtswzoojk",15
"httpstcodldsvni","httpstcodldsvni",15
"httpstcofvfxaeknf","httpstcofvfxaeknf",15
"httpstcofvfxavvmf","httpstcofvfxavvmf",15
"httpstcogltqlqgkj","httpstcogltqlqgkj",15
"httpstcohihlxgqil","httpstcohihlxgqil",15
"httpstconijomirxta","httpstconijomirxta",15
"httpstcosaoezop","httpstcosaoezop",15
"httpstcoslftflsuy","httpstcoslftflsuy",15
"left","left",15
"lets","lets",15
"moment","moment",15
"nuffsaidny","nuffsaidny",15
"park","park",15
"robert","robert",15
"rquinn","rquinn",15
"sanders","sanders",15
"satirical","satirical",15
"since","since",15
"taking","taking",15
"america","america",14
"annalises","annalises",14
"arent","arent",14
"bannonnmaga","bannonnmaga",14
"eduaubdedubua","eduaubdedubua",14
"eduaubdedubuaeduaubdedubuad","eduaubdedubuaeduaubdedubuad",14
"eduaubdedubueduaubdedubu","eduaubdedubueduaubdedubu",14
"footballfunnys","footballfunnys",14
"getting","getting",14
"giagia","giagia",14
"hating","hating",14
"honor","honor",14
"http‚Ä","http‚Ä",14
"httpstcobnhdhdd","httpstcobnhdhdd",14
"httpstcodldsdlk","httpstcodldsdlk",14
"httpstcodthlls","httpstcodthlls",14
"httpstcodujjaznm","httpstcodujjaznm",14
"httpstcodzpokhr","httpstcodzpokhr",14
"httpstcohcbnybmdo","httpstcohcbnybmdo",14
"httpstcohihlxyraj","httpstcohihlxyraj",14
"httpstcoim‚Ä","httpstcoim‚Ä",14
"httpstcoogphsngn","httpstcoogphsngn",14
"httpstcopgaoxje","httpstcopgaoxje",14
"httpstcoycodmkjx","httpstcoycodmkjx",14
"httpstcozcmbbpksxr","httpstcozcmbbpksxr",14
"isnt","isnt",14
"keithellison","keithellison",14
"lives","lives",14
"mannequin","mannequin",14
"mannequinvid","mannequinvid",14
"mark","mark",14
"mattmcgorry","mattmcgorry",14
"might","might",14
"minutes","minutes",14
"nhttpstcoebbohqbwl","nhttpstcoebbohqbwl",14
"nnhtgawm","nnhtgawm",14
"obama","obama",14
"tell","tell",14
"trump‚Äôs","trump‚Äôs",14
"twin","twin",14
"unacceptable","unacceptable",14
"valerie","valerie",14
"wait","wait",14
"wants","wants",14
"wow","wow",14
"accuse","accuse",13
"adviser","adviser",13
"challenge","challenge",13
"concerned","concerned",13
"congrats","congrats",13
"controversial","controversial",13
"dershowitz","dershowitz",13
"east","east",13
"emotional","emotional",13
"evil","evil",13
"future","future",13
"home","home",13
"htgawm‚Ä","htgawm‚Ä",13
"httpstcocwmjiaia","httpstcocwmjiaia",13
"httpstcocwmjiiyk","httpstcocwmjiiyk",13
"httpstcolczxvotn","httpstcolczxvotn",13
"httpstcopganjwrg","httpstcopganjwrg",13
"httpstcopo‚Ä","httpstcopo‚Ä",13
"httpstcoptlcjva","httpstcoptlcjva",13
"httpstcoptlcue","httpstcoptlcue",13
"httpstcoslftgt","httpstcoslftgt",13
"httpstcowkrqbrnnnrt","httpstcowkrqbrnnnrt",13
"httpstcowwqhlslvk","httpstcowwqhlslvk",13
"individual","individual",13
"infoeduaubcedubcuf","infoeduaubcedubcuf",13
"inglewood","inglewood",13
"jack","jack",13
"january","january",13
"lady","lady",13
"marketing","marketing",13
"money‚","money‚",13
"nnhttps‚Ä","nnhttps‚Ä",13
"rescind","rescind",13
"rhimes","rhimes",13
"thank","thank",13
"uufef","uufef",13
"yiannopoulos","yiannopoulos",13
"alert","alert",12
"antisemitismnnpraise","antisemitismnnpraise",12
"begin","begin",12
"benabyad","benabyad",12
"big","big",12
"campaign","campaign",12
"come","come",12
"drmartyfox","drmartyfox",12
"feelin","feelin",12
"games","games",12
"gonna","gonna",12
"hand","hand",12
"httpstcoamvrrrrzoj","httpstcoamvrrrrzoj",12
"httpstcobnhvjd","httpstcobnhvjd",12
"httpstcobtswzowiac","httpstcobtswzowiac",12
"httpstcojppebahaad","httpstcojppebahaad",12
"httpstconijomijysa","httpstconijomijysa",12
"httpstconmcmkhfas","httpstconmcmkhfas",12
"httpstcosaoxowr","httpstcosaoxowr",12
"httpstcowwqhlsdvvi","httpstcowwqhlsdvvi",12
"israel","israel",12
"lit","lit",12
"lyingliberals","lyingliberals",12
"mcdreamy","mcdreamy",12
"muslimbrotherhood","muslimbrotherhood",12
"needs","needs",12
"nnfalsely","nnfalsely",12
"pff","pff",12
"pos","pos",12
"process","process",12
"question","question",12
"radio","radio",12
"ramily","ramily",12
"rebecca","rebecca",12
"row","row",12
"safe","safe",12
"sam","sam",12
"secret","secret",12
"socialmedia","socialmedia",12
"story","story",12
"theyre","theyre",12
"thinking","thinking",12
"tied","tied",12
"top","top",12
"ago","ago",11
"alan","alan",11
"among","among",11
"angst","angst",11
"antisemite","antisemite",11
"anything","anything",11
"based","based",11
"bernie","bernie",11
"bet","bet",11
"breitbartnews","breitbartnews",11
"callmestarlord","callmestarlord",11
"cancelled","cancelled",11
"character","character",11
"classes","classes",11
"coming","coming",11
"congress","congress",11
"connor","connor",11
"cover","cover",11
"dcleakers","dcleakers",11
"denny","denny",11
"divisions","divisions",11
"due","due",11
"eduaubdedubuadeduaubdedubuadeduaubdedubuaa","eduaubdedubuadeduaubdedubuadeduaubdedubuaa",11
"eduaubdedububd","eduaubdedububd",11
"embrace","embrace",11
"every","every",11
"fact","fact",11
"five","five",11
"frank","frank",11
"freebetscouk","freebetscouk",11
